day	time	size	price	sign
2	41660.988	6	506.59	-1
2	41692.578	100	506.23	-1
2	41692.578	10	506.34	-1
2	41692.578	1	506.24	-1
2	41692.578	4	506.28	-1
2	41692.578	4	506.29	-1
2	41692.578	4	506.3	-1
2	41692.578	4	506.32	-1
2	41692.578	4	506.33	-1
2	41692.578	4	506.34	-1
2	41692.578	6	506.23	-1
2	41692.582	4	506.31	-1
2	41692.582	2	506.3	-1
2	41693.742	80	506.24	-1
2	41693.742	20	506.24	-1
2	41727.98	100	506.66	1
2	41731.203	1	506.71	1
2	41731.203	40	506.77	1
2	41731.203	40	506.78	1
2	41731.203	60	506.77	1
2	41731.203	60	506.78	1
2	41731.203	40	506.79	1
2	41731.855	100	506.79	1
2	41731.859	60	506.79	1
2	41731.887	59	506.79	1
2	41731.891	32	506.79	1
2	41734.934	9	506.79	1
2	41734.941	10	506.96	1
2	41791.844	10	506.91	-1
2	41792.445	30	506.71	-1
2	41795.707	7	506.57	-1
2	41795.707	7	506.58	-1
2	41802.328	100	506.41	-1
2	41806.844	100	506.4	-1
2	41830.195	2	506.48	1
2	41834.676	100	506.45	1
2	41834.676	98	506.46	1
2	41834.676	100	506.5	1
2	41834.734	100	506.46	-1
2	41836.043	100	506.46	-1
2	41836.066	2	506.46	-1
2	41858.367	98	506.25	-1
2	41858.375	2	506.25	-1
2	41858.598	100	506.24	1
2	41858.602	100	506.26	1
2	41858.602	100	506.27	1
2	41867.379	100	506.31	1
2	41867.379	100	506.31	1
2	41867.379	100	506.31	1
2	41867.402	100	506.39	1
2	41880.387	100	506.19	-1
2	41897.426	100	506.17	-1
2	41912.082	15	506.19	1
2	41916.633	5	506.03	-1
2	41921.309	65	506.03	-1
2	41922.141	100	506.03	-1
2	41938.234	98	506	-1
2	41938.238	100	506	-1
2	41938.238	200	506	-1
2	41938.277	400	506	-1
2	41938.277	100	506	-1
2	41938.277	200	506	-1
2	41938.277	100	506	-1
2	41938.277	100	506	-1
2	41938.277	700	506	-1
2	41938.277	2	506	-1
2	41938.277	30	506	-1
2	41938.277	68	505.96	-1
2	41938.277	32	505.96	-1
2	41938.395	96	506	1
2	41938.422	100	506.01	1
2	41947.965	3	505.95	1
2	41948.289	100	505.66	-1
2	41948.305	100	505.76	1
2	41948.766	27	505.83	1
2	41948.77	100	505.96	1
2	41948.77	100	505.98	1
2	41948.773	14	506	1
2	41948.773	86	506	1
2	41974.137	86	505.68	-1
2	41974.137	14	505.66	1
2	41974.141	10	505.8	1
2	41975.414	100	505.97	1
2	41981.613	25	506.04	1
2	41981.613	75	506.07	1
2	41981.613	15	506.07	1
2	41981.613	25	506.07	1
2	41981.617	15	506.08	1
2	41981.617	15	506.09	1
2	41981.617	50	506.14	1
2	41982.227	100	505.92	-1
2	42014.004	5	505.95	1
2	42020.004	15	506.19	1
2	42020.004	85	506.19	1
2	42044.227	100	505.84	-1
2	42060.523	2	506.04	1
2	42060.523	35	506.14	1
2	42081.047	15	506.26	1
2	42081.047	85	506.19	1
2	42081.047	15	506.27	1
2	42081.047	85	506.26	1
2	42081.047	1	506.27	1
2	42082.344	16	506.29	1
2	42082.344	84	506.27	1
2	42090.129	20	506.32	1
2	42100.473	100	506.02	-1
2	42100.473	100	506.18	-1
2	42100.473	22	506.01	-1
2	42108.387	100	506.28	1
2	42133.133	54	506.2	-1
2	42133.133	21	506.2	-1
2	42163.328	300	505.93	-1
2	42163.328	75	505.9	-1
2	42163.613	21	506.11	1
2	42177.34	79	506.11	1
2	42191.492	37	506.27	1
2	42191.492	63	506.28	1
2	42191.582	100	505.86	-1
2	42191.582	100	505.89	-1
2	42222.664	100	505.86	-1
2	42222.664	100	505.86	-1
2	42226.574	100	506.2	1
2	42235.438	100	506.2	1
2	42235.438	100	506.21	1
2	42242.137	100	506.22	1
2	42265.535	100	506.19	1
2	42265.547	100	506.19	-1
2	42265.563	100	506.48	1
2	42267.082	100	506.19	-1
2	42278.102	100	506.22	1
2	42288.145	100	506.19	1
2	42301.578	100	506.19	1
2	42301.582	100	506.19	1
2	42302.227	100	506.18	-1
2	42315.121	1	506.03	-1
2	42341.258	100	506.19	1
2	42341.285	200	506.275	-1
2	42370.773	100	506.02	-1
2	42373.453	100	506	-1
2	42373.453	79	506	-1
2	42373.453	100	506	-1
2	42374.246	200	506	-1
2	42374.824	100	506	-1
2	42374.836	100	506	-1
2	42376.117	300	506	-1
2	42376.797	51	506	-1
2	42376.797	200	506	-1
2	42413.461	5	506.38	1
2	42413.461	95	506.38	1
2	42413.461	5	506.38	1
2	42413.461	95	506.39	1
2	42413.461	100	506.39	1
2	42413.461	4	506.39	1
2	42417.738	6	506.21	-1
2	42417.738	6	506.21	-1
2	42430.648	12	506.27	1
2	42430.648	88	506.6	1
2	42436.336	100	506.12	-1
2	42443.535	4	506	-1
2	42443.535	100	506	-1
2	42443.535	100	506	-1
2	42443.535	100	506	-1
2	42443.535	400	506	-1
2	42443.535	66	506	-1
2	42443.813	44	505.88	-1
2	42443.816	56	505.88	-1
2	42444.551	25	505.82	-1
2	42444.551	75	505.8	-1
2	42446.699	50	506	-1
